type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-06-01T00:13:30,2021-06-01T06:10:30,357,33.42200280112045,-35.20369205298084,193.9204713840736,0.4183824710513365,1.1042873983219177
SKIN,2021-06-02T01:04,2021-06-02T06:48:30,342,33.171564327485385,-102.51223064722763,758.9605489978567,0.41062570441036483,1.1249626117146363
SKIN,2021-06-03T00:40,2021-06-03T06:21:30,342,32.69840643274854,-247.46995798319404,327.8955693836324,0.43209418213106765,1.1137642451682879
SKIN,2021-06-03T23:03:30,2021-06-04T07:34,510,33.85043137254902,193.35307710501365,672.0018353450578,0.4333792192307863,1.120693013927624
SKIN,2021-06-04T23:25:30,2021-06-05T08:07:30,522,33.44824712643678,0.0,768.6912711206824,0.4225060053482563,1.1273807169629257
SKIN,2021-06-06T00:17,2021-06-06T06:20,363,32.8851652892562,-199.63536185163866,464.9931387096876,0.4271304491696651,1.1248933624585593
SKIN,2021-06-07T01:08,2021-06-07T06:55:30,348,33.08033045977011,-118.9019747899165,818.7980031147599,0.4220966058111562,1.142028152204789
SKIN,2021-06-07T22:18,2021-06-08T07:19:30,542,33.62857933579336,104.85226963198511,336.71313606458716,0.4161507194988433,1.1270260302560846
SKIN,2021-06-08T23:35:30,2021-06-09T06:04,388,33.81432989690722,142.040114942527,267.19156456924975,0.41647047952729543,1.1189470409290538
SKIN,2021-06-10T01:31,2021-06-10T06:06:30,276,33.70985507246377,62.217360127882785,315.7951561640948,0.41258107331969673,1.1184804336041005
SKIN,2021-06-11T00:16,2021-06-11T07:58,462,32.58383116883117,-399.3601724137934,1542.8608746977989,0.4347669422032283,1.154293702322916
SKIN,2021-06-11T23:39:30,2021-06-12T05:59:30,373,33.585737265415545,51.28382183907888,512.2694920441136,0.43162464778891324,1.15577770146511
SKIN,2021-06-12T20:23,2021-06-13T07:04:30,642,33.41249221183801,-6.105798319327732,390.13903220091015,0.4307285017410864,1.138692947522902
SKIN,2021-06-14T01:00:30,2021-06-14T07:00,359,32.989066852367685,-152.009704049844,427.38862597581465,0.4348514106165887,1.1384764946186492
SKIN,2021-06-15T00:55:30,2021-06-15T09:12,496,33.32835685483871,-38.72823132652047,602.1687791866716,0.4267421822506924,1.13697571750708
SKIN,2021-06-17T03:00,2021-06-17T08:29:30,327,33.045917431192656,-114.55529577464767,467.85776571871247,0.4240818649784429,1.1544388712838765
SKIN,2021-06-18T01:11:30,2021-06-18T08:30:30,439,32.43492027334852,-422.01911267605465,899.1666824917775,0.4402907532157352,1.165108544086562
SKIN,2021-06-19T01:00,2021-06-19T08:30:30,451,32.97261640798226,-191.05398591549238,445.9683307852829,0.4447400877155188,1.168641048416461
SKIN,2021-06-21T01:05,2021-06-21T09:04:30,480,32.94561458333333,-146.08608375778385,2078.2814600889105,0.3890082675580889,1.204401582353605
SKIN,2021-06-21T23:38,2021-06-22T07:34:30,466,32.408401287553644,-334.43247917167537,1729.8451419526245,0.4181875765253168,1.2452059760463696
SKIN,2021-06-22T23:27:30,2021-06-23T06:46:30,439,32.978542141230065,-64.71090580258169,432.40599437302444,0.4196546755249595,1.2535744891387894
SKIN,2021-06-24T00:04:30,2021-06-24T07:13:30,429,32.26229603729604,-343.5551726115118,704.7758336319821,0.44772309921832987,1.2614364240766829
SKIN,2021-06-24T23:29,2021-06-25T05:59:30,391,32.73342710997442,-122.1837155963276,565.9791862069396,0.44552836924776557,1.2582203538047665
SKIN,2021-06-26T01:20:30,2021-06-26T07:42:30,382,31.29623036649215,-657.5219981600239,1379.8488035715418,0.5558798804597891,1.2717551238536753
SKIN,2021-06-28T00:09,2021-06-28T07:40,449,31.725178173719375,-562.7604214123003,2333.0173702854663,0.6036056710726704,1.3346901509304137
SKIN,2021-06-29T01:40:30,2021-06-29T07:56:30,376,32.55192819148936,-160.40684510250503,780.0012748157606,0.606928032675879,1.310140618667533
SKIN,2021-06-30T00:53,2021-06-30T08:07:30,435,32.46196551724138,-224.71083143507894,902.8188571592327,0.6144436370251191,1.3137710308363137
SKIN,2021-07-01T00:46,2021-07-01T07:22,396,32.4932702020202,-189.82109756097452,542.5926130157895,0.6125132940726912,1.3195408983849815
