timestamp,average_value,lower_bound,upper_bound
2021-05-13T00:00:00Z,96.2,94.8,100.0
2021-05-14T00:00:00Z,97.0,94.5,99.5
2021-05-15T00:00:00Z,95.9,93.3,99.5
2021-05-17T00:00:00Z,94.5,90.4,97.0
2021-05-18T00:00:00Z,96.5,93.8,99.0
2021-05-19T00:00:00Z,95.4,92.5,98.3
2021-05-20T00:00:00Z,96.3,94.1,99.9
2021-05-21T00:00:00Z,97.3,95.5,99.3
2021-05-22T00:00:00Z,96.2,94.1,98.5
2021-05-23T00:00:00Z,95.8,93.0,98.9
2021-05-24T00:00:00Z,95.6,93.6,99.4
2021-05-25T00:00:00Z,95.8,92.8,98.5
2021-05-28T00:00:00Z,94.5,91.6,96.8
2021-05-29T00:00:00Z,94.6,92.6,96.1
2021-05-30T00:00:00Z,96.5,94.5,98.8
2021-05-31T00:00:00Z,94.9,92.8,97.3
2021-06-01T00:00:00Z,95.4,92.8,99.0
2021-06-02T00:00:00Z,96.2,94.0,97.9
2021-06-03T00:00:00Z,97.0,94.8,99.0
2021-06-04T00:00:00Z,96.9,95.3,99.0
2021-06-05T00:00:00Z,96.6,96.3,97.5
2021-06-06T00:00:00Z,96.0,94.3,98.4
2021-06-07T00:00:00Z,96.7,93.8,99.1
2021-06-08T00:00:00Z,96.1,93.6,98.4
2021-06-09T00:00:00Z,96.9,94.5,99.6
2021-06-10T00:00:00Z,97.1,95.6,99.1
2021-06-11T00:00:00Z,96.9,94.4,99.8
2021-06-12T00:00:00Z,95.9,94.0,98.1
2021-06-13T00:00:00Z,96.4,94.0,98.3
2021-06-14T00:00:00Z,96.0,92.1,100.0
2021-06-15T00:00:00Z,95.7,93.0,97.8
2021-06-17T00:00:00Z,96.9,95.4,98.5
2021-06-18T00:00:00Z,95.8,92.5,99.1
2021-06-19T00:00:00Z,94.5,91.5,98.9
2021-06-21T00:00:00Z,96.7,95.1,98.5
2021-06-22T00:00:00Z,95.8,94.5,97.1
2021-06-23T00:00:00Z,96.5,94.0,98.8
2021-06-25T00:00:00Z,96.8,94.8,99.0
2021-06-26T00:00:00Z,94.7,93.4,96.0
2021-06-28T00:00:00Z,96.8,95.3,98.4
2021-06-29T00:00:00Z,96.2,95.5,96.9
2021-06-30T00:00:00Z,95.5,93.1,98.5
2021-07-01T00:00:00Z,96.1,94.5,97.8
2021-07-02T00:00:00Z,96.6,95.5,97.5
2021-07-03T00:00:00Z,96.9,92.4,98.9
2021-07-04T00:00:00Z,94.7,91.0,98.8
2021-07-05T00:00:00Z,96.0,93.5,99.8
2021-07-07T00:00:00Z,96.8,95.0,98.9
