timestamp,rmssd,coverage,low_frequency,high_frequency
2021-07-07T02:35:00,65.593,0.747,2389.925,437.423
2021-07-07T02:40:00,82.513,0.969,5434.566,1806.04
2021-07-07T02:45:00,72.085,0.908,1617.465,1157.28
2021-07-07T02:50:00,67.004,0.992,1112.545,1678.213
2021-07-07T02:55:00,55.401,0.988,956.662,719.025
2021-07-07T03:00:00,62.798,0.973,2746.485,873.264
2021-07-07T03:05:00,54.679,0.995,1504.531,642.041
2021-07-07T03:10:00,64.406,0.941,6826.97,1275.907
2021-07-07T03:15:00,69.74,1.004,1164.518,1298.885
2021-07-07T03:20:00,57.873,0.989,1456.865,974.835
2021-07-07T03:25:00,57.581,1.004,877.646,1015.015
2021-07-07T03:30:00,64.416,1.004,1788.84,1210.217
2021-07-07T03:35:00,78.757,0.872,7029.931,1987.342
2021-07-07T03:40:00,52.878,0.984,1637.802,738.055
2021-07-07T03:45:00,39.786,1.002,561.319,699.735
2021-07-07T03:50:00,45.947,1.003,2678.143,992.254
2021-07-07T03:55:00,51.565,1.003,1175.338,1047.971
2021-07-07T04:00:00,51.754,1.001,687.717,766.457
2021-07-07T04:05:00,55.651,1.003,473.075,1033.559
2021-07-07T04:10:00,83.571,0.915,4914.807,1454.246
2021-07-07T04:15:00,78.897,0.934,3899.144,1597.536
2021-07-07T04:20:00,110.513,0.9,4398.159,4269.974
2021-07-07T04:25:00,94.045,0.91,7073.809,3282.482
2021-07-07T04:30:00,81.264,0.976,2620.509,1965.341
2021-07-07T04:35:00,86.552,0.949,3804.113,2039.497
2021-07-07T04:40:00,72.379,0.987,3250.566,1280.779
2021-07-07T04:45:00,70.007,0.988,1576.945,1290.431
2021-07-07T04:50:00,60.9,0.965,1383.855,1243.717
2021-07-07T04:55:00,72.177,0.86,4637.441,1420.86
2021-07-07T05:00:00,60.998,1.004,2245.825,592.541
2021-07-07T05:05:00,57.178,0.894,674.642,518.587
2021-07-07T05:10:00,88.899,0.871,7287.603,1481.132
2021-07-07T05:15:00,65.055,0.991,2328.916,591.959
2021-07-07T05:20:00,73.157,0.958,7096.656,1114.418
2021-07-07T05:25:00,74.388,0.985,2607.356,910.404
2021-07-07T05:30:00,84.074,0.922,2370.156,1082.366
2021-07-07T05:35:00,71.97,0.971,2326.446,1248.502
2021-07-07T05:40:00,86.157,0.944,1283.29,2614.342
2021-07-07T05:45:00,78.256,0.96,1619.616,1939.026
2021-07-07T05:50:00,72.316,0.995,2445.734,1572.941
2021-07-07T05:55:00,66.808,0.991,1955.947,1354.459
2021-07-07T06:00:00,90.573,0.911,2731.699,2172.76
2021-07-07T06:05:00,93.999,0.925,2371.388,2603.11
2021-07-07T06:10:00,82.148,0.975,1908.456,2065.65
2021-07-07T06:15:00,91.17,0.898,1066.818,1515.837
2021-07-07T06:20:00,75.382,0.964,2800.316,1666.701
2021-07-07T06:25:00,68.504,0.961,4133.821,1511.357
2021-07-07T06:30:00,59.02,0.994,4802.139,977.248
2021-07-07T06:35:00,63.122,0.909,1725.89,888.439
2021-07-07T06:40:00,63.79,0.992,2396.178,965.841
2021-07-07T06:45:00,66.907,0.902,3382.959,1156.071
2021-07-07T06:50:00,87.621,0.906,3158.691,2095.642
2021-07-07T06:55:00,75.745,0.976,1815.134,1313.776
2021-07-07T07:05:00,74.384,0.707,2037.199,1797.915
2021-07-07T07:10:00,91.575,1.002,3014.747,2780.313
2021-07-07T07:15:00,84.64,0.996,1462.907,2645.022
2021-07-07T07:20:00,74.571,1.002,2935.89,1673.712
2021-07-07T07:25:00,74.062,1.002,1426.718,1661.646
2021-07-07T07:30:00,110.916,0.889,9424.278,3853.079
2021-07-07T07:35:00,75.625,0.97,3024.79,1877.973
2021-07-07T07:40:00,57.896,0.967,1064.969,817.042
2021-07-07T07:45:00,54.303,0.954,2363.818,1030.512
2021-07-07T07:50:00,69.145,0.916,2291.89,1433.62
2021-07-07T07:55:00,67.158,0.934,2193.425,1172.692
2021-07-07T08:00:00,78.726,0.97,3114.961,2493.452
2021-07-07T08:05:00,59.448,0.97,1473.31,998.056
2021-07-07T08:10:00,60.709,0.886,1538.144,873.852
2021-07-07T08:15:00,119.521,0.912,3913.01,5735.682
2021-07-07T08:20:00,78.731,0.91,6926.781,1849.349
2021-07-07T08:25:00,88.304,0.909,3365.314,2264.601
2021-07-07T08:30:00,71.682,0.887,3950.887,1192.005
2021-07-07T08:35:00,58.516,0.9,2220.306,736.735
