timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-06-01T06:10:30,15.2,1.0,7.687,13.6,1.1,12.773,,,,-1.0,0.0,2.103
2021-06-02T06:48:30,14.8,1.3,5.01,14.2,1.5,4.477,,,,16.0,0.9,3.804
2021-06-03T06:21:30,14.6,1.0,5.731,14.0,1.5,7.447,,,,16.0,1.4,2.694
2021-06-04T02:06:30,15.0,0.7,6.243,15.8,1.6,8.533,,,,17.6,1.3,2.609
2021-06-04T07:34:00,13.4,0.7,7.22,14.4,1.7,9.022,,,,15.6,0.6,4.722
2021-06-05T06:29:30,15.0,1.6,9.928,14.8,1.8,13.251,,,,15.0,0.7,2.604
2021-06-05T08:07:30,15.0,1.5,10.706,14.4,1.7,12.085,,,,15.2,0.7,2.712
2021-06-06T06:20:00,15.4,1.5,5.074,15.0,1.7,10.334,,,,14.2,1.0,2.648
2021-06-07T06:55:30,13.8,0.7,9.064,14.0,1.4,7.753,,,,16.2,1.4,3.112
2021-06-08T01:57:30,16.0,1.3,9.88,16.0,1.3,9.88,,,,17.4,1.1,4.114
2021-06-08T07:19:30,14.4,0.5,5.726,14.8,2.5,5.909,,,,-1.0,0.0,2.224
2021-06-09T06:04:00,15.8,1.4,7.956,14.8,1.7,5.706,,,,17.6,1.4,2.948
2021-06-10T06:06:30,14.8,0.8,7.87,14.6,1.2,6.149,,,,15.2,1.9,3.95
2021-06-11T07:58:00,15.2,1.6,9.52,14.2,1.1,9.939,,,,15.6,1.5,3.65
2021-06-12T03:41:00,16.4,1.1,4.463,14.2,0.6,5.53,,,,16.0,1.1,3.011
2021-06-12T05:59:30,16.4,1.3,6.856,14.4,1.4,9.799,,,,16.6,0.7,2.887
2021-06-13T07:04:30,13.4,0.7,8.044,14.2,2.0,12.821,,,,15.4,1.4,3.611
2021-06-14T07:00:00,16.2,0.8,6.054,14.4,2.0,6.581,,,,13.8,0.4,2.741
2021-06-15T09:12:00,14.0,1.0,5.174,14.4,1.3,7.759,,,,17.0,3.1,4.243
2021-06-17T08:29:30,16.2,1.0,5.648,14.8,2.4,8.431,,,,13.8,1.6,2.675
2021-06-18T08:30:30,15.8,0.7,8.048,14.2,0.8,12.769,,,,16.2,1.2,2.713
2021-06-19T08:30:30,15.6,1.6,10.193,15.6,1.2,8.176,,,,-1.0,0.0,2.213
2021-06-21T09:04:30,14.6,1.3,10.842,14.2,1.9,9.036,,,,14.6,2.2,4.444
2021-06-22T05:48:30,15.2,0.6,5.861,14.4,2.3,10.405,,,,19.0,0.5,2.619
2021-06-22T07:34:30,15.2,0.7,6.035,14.4,2.2,12.688,,,,16.8,0.5,2.759
2021-06-23T06:46:30,16.4,1.1,6.716,15.4,1.7,11.564,,,,-1.0,0.0,2.361
2021-06-24T07:13:30,16.0,1.2,6.856,14.8,2.1,10.439,,,,15.8,2.7,3.013
2021-06-25T05:59:30,14.8,0.9,8.052,13.6,1.3,8.475,,,,16.2,1.2,3.166
2021-06-29T07:56:30,15.2,1.2,8.522,13.8,1.7,5.711,,,,14.8,1.3,3.575
2021-06-30T08:07:30,14.8,1.6,9.507,14.6,2.0,12.005,,,,15.2,2.4,4.883
